player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_sca_sca,header_sca_sca_per90,header_sca_types_sca_passes_live,header_sca_types_sca_passes_dead,header_sca_types_sca_dribbles,header_sca_types_sca_shots,header_sca_types_sca_fouled,header_gca_gca,header_gca_gca_per90,header_gca_types_gca_passes_live,header_gca_types_gca_passes_dead,header_gca_types_gca_dribbles,header_gca_types_gca_shots,header_gca_types_gca_fouled,header_gca_types_gca_og_for,matches
Florian Ayé,fr FRA,"FW,MF",Brescia,it Serie A,22,1997,13.6,24,1.76,12,1,4,5,2,0,0.00,0,0,0,0,0,0,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,27,1991,35.0,66,1.89,43,0,11,1,11,7,0.20,3,0,3,0,1,0,Matches
Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,28,0.92,27,0,0,1,0,3,0.10,3,0,0,0,0,0,Matches
Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,15,0.99,11,1,0,2,1,1,0.07,1,0,0,0,0,0,Matches
César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,79,2.20,71,2,1,2,3,7,0.20,6,1,0,0,0,0,Matches
Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,20,2.18,17,1,1,0,1,1,0.11,1,0,0,0,0,0,Matches
Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,25,0.78,24,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches
Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,45,2.85,27,0,6,5,7,5,0.32,0,0,1,1,3,0,Matches
Carlos Bacca,co COL,"FW,MF",Villarreal,es La Liga,32,1986,7.6,12,1.57,7,0,3,0,2,2,0.26,1,0,0,0,1,0,Matches
Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,43,2.44,36,2,2,0,3,1,0.06,1,0,0,0,0,0,Matches
Matthias Bader,de GER,DF,Köln,de Bundesliga,22,1997,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bastian Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alejandro Baena,es ESP,MF,Villarreal,es La Liga,18,2001,0.2,1,6.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
