player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_standard_goals,header_standard_pens_made,header_standard_pens_att,header_standard_shots_total,header_standard_shots_on_target,header_standard_shots_free_kicks,header_standard_shots_on_target_pct,header_standard_shots_total_per90,header_standard_shots_on_target_per90,header_standard_goals_per_shot,header_standard_goals_per_shot_on_target,header_expected_xg,header_expected_npxg,header_expected_npxg_per_shot,header_expected_xg_net,header_expected_npxg_net,matches
Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,0,0,0,3,0,0,0.0,3.29,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,1,0,0,47,10,1,21.3,1.71,0.36,0.02,0.10,4.5,4.5,0.10,-3.5,-3.5,Matches
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,0,0,0,1,0,0,0.0,0.48,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,3,0,0,45,17,2,37.8,2.07,0.78,0.07,0.18,3.9,3.9,0.09,-0.9,-0.9,Matches
Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,0,0,0,1,0,0,0.0,0.06,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,1,0,0,46,7,4,15.2,1.35,0.21,0.02,0.14,2.0,2.0,0.04,-1.0,-1.0,Matches
Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,0,0,1,0,0,0.0,1.13,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1,0,0,15,2,0,13.3,0.64,0.08,0.07,0.50,1.5,1.5,0.10,-0.5,-0.5,Matches
